Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity
TECHM,EQ,05-03-2019,831.80,822.50,824.70,808.05,810.80,810.00,813.17,4927644
TECHM,EQ,06-03-2019,810.00,812.00,829.70,812.00,824.60,823.55,821.79,3999053
TECHM,EQ,07-03-2019,823.55,823.55,825.45,806.25,809.00,808.25,813.75,2306250
TECHM,EQ,08-03-2019,808.25,810.20,813.50,802.60,810.45,811.35,809.56,1437045
TECHM,EQ,11-03-2019,811.35,812.00,814.40,803.00,808.25,807.15,808.12,2699806
TECHM,EQ,12-03-2019,807.15,811.00,813.75,801.15,805.70,804.70,805.24,2793702
TECHM,EQ,13-03-2019,804.70,808.90,816.00,788.00,790.00,789.95,797.86,4815576
TECHM,EQ,14-03-2019,789.95,792.10,795.00,775.00,790.20,788.45,785.05,3112666
TECHM,EQ,15-03-2019,788.45,794.00,807.50,787.00,800.50,799.30,798.65,3854238
TECHM,EQ,18-03-2019,799.30,804.95,805.70,782.25,790.50,788.60,794.27,3379301
TECHM,EQ,19-03-2019,788.60,793.50,797.45,783.25,794.65,794.65,789.00,2413153
TECHM,EQ,20-03-2019,794.65,797.00,806.20,787.30,788.50,789.85,796.06,3331375
TECHM,EQ,22-03-2019,789.85,794.50,798.00,783.20,790.10,788.75,788.30,2815749
TECHM,EQ,25-03-2019,788.75,792.00,795.45,786.40,788.20,789.60,790.31,1861646
TECHM,EQ,26-03-2019,789.60,790.20,791.90,768.15,769.65,770.75,773.59,3169827
TECHM,EQ,27-03-2019,770.75,771.00,773.00,761.60,764.50,764.95,765.18,3893738
TECHM,EQ,28-03-2019,764.95,770.00,782.00,768.05,772.85,771.70,775.07,3908706
TECHM,EQ,29-03-2019,771.70,778.95,781.95,771.00,776.40,775.90,775.34,2455461
